id,nom,description,sourceImage,prixHT,tauxReduction,tempsPreparation,quantiteStock,valeurNutri100g,allergenes,idRestaurant,idCategorie
1,Orange Honeysuckle,Macropus eugenii,http://dummyimage.com/174x240.bmp/cc0000/ffffff,8,2,7,212,4220,"",45,5
2,Inundated Clubmoss,Chauna torquata,http://dummyimage.com/136x119.png/dddddd/000000,2,5,6,360,6697,accumsan tortor quis turpis sed ante vivamus tortor,24,1
3,Gulf Searocket,Ovis canadensis,http://dummyimage.com/216x104.jpg/dddddd/000000,5,5,5,479,5734,ultrices posuere cubilia curae donec pharetra magna,93,5
4,Orange-flower Star Orchid,Threskionis aethiopicus,http://dummyimage.com/187x222.jpg/5fa2dd/ffffff,17,1,6,401,3308,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,68,4
5,Rock Draba,Rhea americana,http://dummyimage.com/202x186.jpg/dddddd/000000,16,0,3,460,1648,est congue elementum in hac,1,6
6,Rockmart Hawthorn,Cercatetus concinnus,http://dummyimage.com/107x179.bmp/cc0000/ffffff,18,0,9,722,3541,"",92,1
7,California Fawnlily,Cereopsis novaehollandiae,http://dummyimage.com/226x215.png/dddddd/000000,10,4,7,495,4640,orci luctus et ultrices,22,5
8,Whitethorn Acacia,Vanellus armatus,http://dummyimage.com/194x201.png/dddddd/000000,7,4,2,671,8175,quisque ut,88,2
9,Wisconsin Dewberry,Macaca mulatta,http://dummyimage.com/164x171.jpg/cc0000/ffffff,3,4,3,716,1098,erat id mauris vulputate,49,4
10,Shaggytuft,Papio cynocephalus,http://dummyimage.com/118x185.bmp/cc0000/ffffff,16,3,3,437,9691,parturient,53,6
11,Low Rough Aster,Macropus parryi,http://dummyimage.com/128x192.bmp/5fa2dd/ffffff,2,2,9,671,6437,est et tempus semper est quam pharetra magna,20,1
12,Dust Lichen,Dasyurus viverrinus,http://dummyimage.com/136x233.bmp/5fa2dd/ffffff,6,1,3,242,5821,"",74,3
13,Shortstyle Indian Paintbrush,Geococcyx californianus,http://dummyimage.com/110x156.jpg/cc0000/ffffff,3,3,5,597,4259,hac habitasse platea dictumst,86,5
14,Puerto Rico Sphagnum,Phoca vitulina,http://dummyimage.com/250x121.png/ff4444/ffffff,2,4,8,7,3464,libero nullam sit amet turpis elementum ligula vehicula consequat,50,6
15,Lavender Bladderwort,Ursus maritimus,http://dummyimage.com/121x142.png/cc0000/ffffff,15,0,2,738,5115,lacus curabitur at ipsum ac tellus,44,2
16,Wart Lichen,Actophilornis africanus,http://dummyimage.com/120x172.jpg/5fa2dd/ffffff,18,1,9,785,7955,dapibus dolor vel est,93,1
17,Mullein,Fregata magnificans,http://dummyimage.com/146x115.png/cc0000/ffffff,5,3,9,956,5981,vel dapibus at diam,90,3
18,Domingoa,Neophron percnopterus,http://dummyimage.com/242x142.jpg/dddddd/000000,3,1,5,648,6613,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,4,2
19,Menzies' Pepperweed,Eubalaena australis,http://dummyimage.com/199x178.jpg/5fa2dd/ffffff,17,4,5,129,5503,potenti cras in purus eu magna,16,2
20,Norwegian Cinquefoil,Crotalus cerastes,http://dummyimage.com/184x233.jpg/5fa2dd/ffffff,10,1,3,923,7014,tortor sollicitudin mi,44,5
21,Michael's Piperia,Psophia viridis,http://dummyimage.com/144x177.png/cc0000/ffffff,13,4,1,778,4931,vel augue vestibulum rutrum rutrum neque aenean,59,5
22,Whitedaisy Tidytips,Macropus rufogriseus,http://dummyimage.com/201x187.bmp/dddddd/000000,14,2,5,192,8298,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,46,2
23,Threelobe Rosemallow,Odocoileus hemionus,http://dummyimage.com/187x116.jpg/dddddd/000000,12,5,9,475,2487,nulla suscipit ligula in lacus curabitur,40,4
24,Field Blackberry,Boa constrictor mexicana,http://dummyimage.com/216x184.jpg/ff4444/ffffff,13,1,3,786,3829,proin risus praesent,90,6
25,Streamside Swordfern,Parus atricapillus,http://dummyimage.com/221x181.png/5fa2dd/ffffff,12,0,9,706,4237,vestibulum ante ipsum,62,3
26,Avian Goosefoot,Ursus arctos,http://dummyimage.com/160x215.bmp/cc0000/ffffff,7,5,3,994,4717,dui vel sem sed,23,1
27,Scabiosa,Lycaon pictus,http://dummyimage.com/149x246.png/5fa2dd/ffffff,19,4,3,412,7552,ac nibh,90,3
28,Dot Lichen,Acrobates pygmaeus,http://dummyimage.com/238x193.png/ff4444/ffffff,3,2,2,707,1060,sed,81,2
29,Commerson's Nightshade,Buteo galapagoensis,http://dummyimage.com/221x140.png/dddddd/000000,4,4,4,55,6299,ut tellus nulla ut,89,1
30,Marrat's Bryum Moss,Pycnonotus nigricans,http://dummyimage.com/201x196.bmp/5fa2dd/ffffff,4,5,3,571,38,erat id mauris vulputate elementum nullam varius nulla facilisi cras,43,1
31,Wirestem Muhly,Ratufa indica,http://dummyimage.com/131x137.bmp/cc0000/ffffff,11,1,3,531,8286,at turpis donec posuere,15,2
32,Cypress,Felis silvestris lybica,http://dummyimage.com/219x182.jpg/cc0000/ffffff,10,2,9,854,2425,sapien quis libero nullam sit amet,52,2
33,Rush,Psittacula krameri,http://dummyimage.com/213x122.png/ff4444/ffffff,12,2,2,516,870,"",83,6
34,Furniss' Pincushionplant,Tiliqua scincoides,http://dummyimage.com/148x201.bmp/ff4444/ffffff,16,0,4,969,8578,eu orci mauris lacinia sapien,73,6
35,Bractscale,Recurvirostra avosetta,http://dummyimage.com/164x226.png/cc0000/ffffff,9,3,10,721,3476,augue vestibulum rutrum rutrum,74,4
36,Ilang-ilang,Chamaelo sp.,http://dummyimage.com/237x239.png/5fa2dd/ffffff,10,1,2,662,1772,ac tellus semper interdum mauris ullamcorper purus sit,15,1
37,Drummond's Aster,Pycnonotus nigricans,http://dummyimage.com/204x229.jpg/5fa2dd/ffffff,2,5,6,594,2168,mauris non ligula pellentesque ultrices phasellus id sapien in sapien,70,3
38,Axilflower,Paraxerus cepapi,http://dummyimage.com/168x212.bmp/cc0000/ffffff,8,4,8,672,8291,justo in blandit,91,1
39,Dropwort,Tursiops truncatus,http://dummyimage.com/133x228.bmp/ff4444/ffffff,13,5,1,88,4855,consequat lectus in est risus auctor sed,86,4
40,Wishbone Flower,Galictis vittata,http://dummyimage.com/115x115.jpg/dddddd/000000,14,5,6,251,5485,in tempus,39,3
41,Sugar Pine Dwarf Mistletoe,Cereopsis novaehollandiae,http://dummyimage.com/175x177.png/dddddd/000000,19,4,6,839,8935,in,68,4
42,Severinia,Semnopithecus entellus,http://dummyimage.com/145x147.jpg/ff4444/ffffff,13,4,4,162,813,nulla,35,1
43,Embrert,Mungos mungo,http://dummyimage.com/137x207.png/cc0000/ffffff,9,2,7,58,7312,risus dapibus augue vel accumsan tellus nisi eu orci mauris,28,1
44,Albaida,Kobus defassa,http://dummyimage.com/149x187.bmp/5fa2dd/ffffff,7,2,6,853,8881,consectetuer eget rutrum at,78,3
45,Chekkurmanis,Crocuta crocuta,http://dummyimage.com/196x200.bmp/cc0000/ffffff,14,2,1,23,219,ut mauris eget massa tempor convallis,4,4
46,Thelignya Lichen,Sula dactylatra,http://dummyimage.com/240x118.png/5fa2dd/ffffff,3,2,8,209,764,"",66,5
47,Moco De Pavo,Equus burchelli,http://dummyimage.com/249x152.jpg/dddddd/000000,6,3,10,55,5628,erat fermentum justo nec condimentum neque sapien placerat ante,19,1
48,Tongavine,Fulica cristata,http://dummyimage.com/240x244.jpg/ff4444/ffffff,18,1,1,118,9835,quis,53,6
