id,nom,description,rayonLivraison,horaireOuverture,horaireFermeture,idUtilisateur,idAdresse
1,"GREAT ESCAPE THEME PARK LP","",92,2:16,12:50,03,16
2,"TOPS MARKETS LLC","",21,5:17,6:26,93,73
3,"ELLENVILLE BEER & SODA INC","",34,2:40,0:02,92,92
4,"SNS BAR LLC","",84,0:34,14:42,84,43
5,"DIFT LLC AND SWEET HOSPITALITY GROUP","",89,2:17,11:07,29,96
6,"MERMAID LIQUOR HOUSE INC","",83,3:49,4:25,24,57
7,"BUFFANNA INC","",05,4:39,16:14,84,68
8,"LAMARCA INC","",14,1:05,8:40,25,96
9,"V & M DINER CORP","",07,4:14,23:18,29,27
10,"PAUL N MACAKANJA JR & LINDA MAC","",07,1:42,2:41,80,55
11,"77 NORTH 6 CORP","",99,1:22,12:16,67,80
12,"570 KCBS CORP","",87,3:01,9:47,26,78
13,"GERARD HOSPITALITY LLC","",78,3:49,9:19,92,49
14,"SECOND STAGE THEATRE INC THE","",62,0:19,0:07,87,07
15,"242 WOOD FOOD INC","",35,5:26,15:53,85,57
16,"HNY FERRY LLC","",83,5:05,3:53,49,08
17,"EL TROPICAL DELI GROCERY CORP","",85,5:37,17:18,59,83
18,"PERRY STREET PROJECT LLC","",12,1:34,7:32,49,46
19,"MEGA FUN WORKS INC","",32,1:24,18:04,89,49
20,"BOLLA OPERATING CORP","",48,3:32,9:42,24,87
21,"CHO FAMILIA DYNASTIA INC","",94,5:30,22:18,66,76
22,"WYATT'S OF LAKE PLACID INC","",86,4:56,19:59,53,26
23,"SHOEMAKER BREWING COMPANY LLC","",07,3:37,14:59,73,69
24,"RF BROADWAY LLC","",34,2:23,4:34,60,68
25,"COMEAU GROUP INC","",71,3:37,8:22,18,89
26,"LA DIVINA DOS INC","",90,1:21,17:15,47,31
27,"PORTS END INC","",23,4:09,13:12,06,43
28,"FLUSHING BEVERAGE INC","",56,3:52,21:04,41,15
